,,MultiPopPred-PRS,,MultiPopPred-PRS+,,"MultiPopPred-GWAS-
Admixture",,"MultiPopPred-GWAS-
TarSS",,MultiPopPred-GWAS,,"Baseline GWAS
(Target Pop.)",,PRS-CSx,,PROSPER,,"Lassosum2
(ExtLD)",,Lassosum-TrueLD,,TL-Multi,
,,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD,Correlation Ratio,SD
"Heritability
0.1",EurOnly,0.134638743,0.07940142152,0.1542011572,0.06991419344,--,--,0.3636688823,0.07317094974,0.2948907474,0.06798151903,0.3732369918,0.06500159537,0.3007233556,0.06836893944,0.1924232395,0.09503562796,0.2261730218,0.09711227737,0.2122197561,0.06074124177,0.2387495803,0.07328563241
,EasOnly,0.1386156225,0.07840396111,0.2035203929,0.04580600457,--,--,0.3643909847,0.07766813872,0.2914210736,0.07176588841,0.3732369918,0.06500159537,0.3020795626,0.04678535692,0.1951556581,0.1030869381,0.2261730218,0.09711227737,0.2122197561,0.06074124177,0.2399396544,0.1002414018
,AmrOnly,0.1358173833,0.07733628357,0.1874209382,0.07484866582,--,--,0.3660801154,0.07928471589,0.2909697617,0.06714208935,0.3732369918,0.06500159537,0.2925475087,0.05539152623,0.1871352768,0.08611870054,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,AfrOnly,0.1341242692,0.07735881697,0.2016026632,0.06346588087,--,--,0.3618192963,0.06932077442,0.2883182203,0.06892186629,0.3732369918,0.06500159537,0.2922310413,0.06134532281,0.1993807351,0.08896489067,0.2261730218,0.09711227737,0.2122197561,0.06074124177,0.2467283008,0.0645898026
,EurAmr,0.1349205868,0.07845698821,0.1805102358,0.07453843216,0.2937516015,0.0653995197,0.3651876562,0.07198466191,0.2981047016,0.06166320743,0.3732369918,0.06500159537,0.2783240805,0.07219584974,0.1990957898,0.07667896558,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EurEas,0.1368453846,0.07956898029,0.1885701617,0.05908455793,0.3124344413,0.06950501381,0.3651277127,0.07780826345,0.3181002326,0.0651008545,0.3732369918,0.06500159537,0.2807410671,0.07618954293,0.20697915,0.08676945662,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EurAfr,0.1335456685,0.07934386372,0.187710432,0.06849648866,0.3009543863,0.06644496237,0.3629278108,0.07026281657,0.3061268538,0.06795245827,0.3732369918,0.06500159537,0.2727486531,0.08111453481,0.2094527736,0.08023268541,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EasAmr,0.1366506172,0.07825963739,0.2052869212,0.06027255795,0.2956333491,0.06801352467,0.3624397125,0.07147128304,0.3147004095,0.07640820719,0.3732369918,0.06500159537,0.2744261618,0.07401459616,0.1947360568,0.0728274225,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
,EasAfr,0.1358237052,0.07819428161,0.2124122585,0.05820292764,0.3115627263,0.07287500666,0.3620663084,0.072943994,0.3131096154,0.07186705508,0.3732369918,0.06500159537,0.2775435972,0.08162112199,0.1978966971,0.07989333412,0.2261730218,0.09711227737,0.2122197561,0.06074124177,--,--
