Figure,Supplementary Data,Source Data
"Main Text Figure 1
(Methodology Overview)",--,--
"Main Text Figure 2a,b,c,d","4,5,6",1
Main Text Figure 3,"4,5,6",--
"Main Text Figure 4a,b,c,d",7,--
"Main Text Figure 5a,b",9,2
"Main Text Figure 6a,b,c,d,e,f,g,h","12,13",--
"Main Text Figure 7a,b,c,d,e,f,g,h",14,--
Main Text Figrue 8,"12,13,14",--
Supplementary Figure 1,"4,5,6",--
Supplementary Figure 2,--,3
Supplementary Figrue 3,--,4
Supplementary Figure 4,--,5
Supplementary Figure 5,--,6
Supplementary Figure 6,--,7
Supplementary Figure 7,--,8
Supplementary Figure 8,--,9
Supplementary Figure 9,--,10
Supplementary Figure 10,--,11
Supplementary Figure 11,--,12
Supplementary Figure 12,17,--
Supplementary Figure 13,"12,13",--
Supplementary Figure 14,20,--
Supplementary Figure 15,20,--
Supplementary Figure 16,"15,16",--
Supplementary Figure 17,14,--
Supplementary Figure 18,"12,13",--
Supplementary Figure 19,14,--
Supplementary Figure 20,--,13
Supplementary Figure 21,--,14
