,,,,,,,
Supplementary Figure Panel,Trait,Decile,Mean Predicted Probability,Observed Proportion of Cases,"Standard Error 
Observed Proportion of Cases",E/O (Mean),E/O (Standard Deviation)
21a,RT,1,0.2470,0.2933,0.0263,0.9920,0.0060
,,2,0.2914,0.3400,0.0274,,
,,3,0.3148,0.3033,0.0266,,
,,4,0.3305,0.3433,0.0275,,
,,5,0.3448,0.4067,0.0284,,
,,6,0.3624,0.3900,0.0282,,
,,7,0.3806,0.3900,0.0282,,
,,8,0.3979,0.3500,0.0276,,
,,9,0.4261,0.4067,0.0284,,
,,10,0.4871,0.3867,0.0282,,
21b,EDQ,1,0.2275,0.2567,0.0253,1.0030,0.0020
,,2,0.2865,0.2833,0.0261,,
,,3,0.3167,0.3267,0.0271,,
,,4,0.3454,0.3100,0.0267,,
,,5,0.3731,0.4400,0.0287,,
,,6,0.4008,0.3900,0.0282,,
,,7,0.4314,0.4533,0.0288,,
,,8,0.4670,0.4800,0.0289,,
,,9,0.5084,0.4667,0.0289,,
,,10,0.5962,0.5333,0.0289,,
21c,ALG,1,0.1036,0.2467,0.0249,1.0250,0.0170
,,2,0.1386,0.1733,0.0219,,
,,3,0.1609,0.1867,0.0225,,
,,4,0.1809,0.2033,0.0233,,
,,5,0.1998,0.1933,0.0228,,
,,6,0.2202,0.1467,0.0205,,
,,7,0.2436,0.2500,0.0250,,
,,8,0.2666,0.2533,0.0252,,
,,9,0.3018,0.2433,0.0248,,
,,10,0.3782,0.2433,0.0248,,
21d,Any CVD,1,0.0621,0.0633,0.0141,0.9550,0.0250
,,2,0.0990,0.1333,0.0197,,
,,3,0.1238,0.2133,0.0237,,
,,4,0.1499,0.1333,0.0197,,
,,5,0.1872,0.1967,0.0230,,
,,6,0.2262,0.2233,0.0241,,
,,7,0.2786,0.2400,0.0247,,
,,8,0.3353,0.3867,0.0282,,
,,9,0.4042,0.3900,0.0282,,
,,10,0.5397,0.5400,0.0288,,
21e,AST,1,0.0639,0.1200,0.0188,1.0020,0.0060
,,2,0.0847,0.1067,0.0179,,
,,3,0.0955,0.1333,0.0197,,
,,4,0.1046,0.1167,0.0186,,
,,5,0.1125,0.1067,0.0179,,
,,6,0.1206,0.0833,0.0160,,
,,7,0.1302,0.1333,0.0197,,
,,8,0.1434,0.1433,0.0203,,
,,9,0.1584,0.1367,0.0199,,
,,10,0.1889,0.1200,0.0188,,
21f,DLP,1,0.1442,0.1833,0.0224,0.9740,0.0110
,,2,0.2078,0.2500,0.0250,,
,,3,0.2533,0.2933,0.0263,,
,,4,0.2973,0.3100,0.0267,,
,,5,0.3407,0.3533,0.0276,,
,,6,0.3918,0.4033,0.0284,,
,,7,0.4475,0.4233,0.0286,,
,,8,0.5096,0.5367,0.0288,,
,,9,0.5904,0.5800,0.0285,,
,,10,0.7134,0.6667,0.0273,,
21g,MP,1,0.4838,0.4633,0.0288,1.0050,0.0040
,,2,0.5328,0.5933,0.0284,,
,,3,0.5598,0.5867,0.0285,,
,,4,0.5809,0.6400,0.0278,,
,,5,0.6019,0.5733,0.0286,,
,,6,0.6209,0.6733,0.0271,,
,,7,0.6407,0.6333,0.0279,,
,,8,0.6617,0.5767,0.0286,,
,,9,0.6894,0.7033,0.0264,,
,,10,0.7386,0.6367,0.0278,,
21h,T2D,1,0.1447,0.1467,0.0205,1.0000,0.0020
,,2,0.1841,0.1767,0.0221,,
,,3,0.2093,0.2300,0.0243,,
,,4,0.2365,0.2300,0.0243,,
,,5,0.2650,0.3567,0.0277,,
,,6,0.2975,0.2800,0.0260,,
,,7,0.3344,0.3600,0.0278,,
,,8,0.3827,0.4033,0.0284,,
,,9,0.4379,0.3567,0.0277,,
,,10,0.5276,0.4800,0.0289,,
